"chain","rank","pair","requestedPair","matched","token","name","symbol","quote","quoteAddress","uiAge","createdAt","ageHours","priceUsd","marketCap","liquidityUsd","volumeH1","volumeH6","volumeH24","buysH1","sellsH1","changeH1","changeH6","boosts","websites","socials","capturedAt"
"solana","11","Cb7ZRgPLhji3Th7htXyKEqbXvNjPpeTvckXuWakBUhXu","cb7zrgplhji3th7htxykeqbxvnjppetvckxuwakbuhxu","True","Hg5Ja55T5wESq4vyFoiVCMeHXtGyVA69X2UHq8hgpump","baton","baton","PUMP","pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn","2d","9/9/2026 20:32:14","58,056","0.007414","7405534","355852,97","145885,97","1054647,85","9100322,5","324","308","15,45","7,34",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","12","5dYsxy1hJ8DxejsfHJR9wyRsuLHw6wCLKk7idc1kszUn","5dysxy1hj8dxejsfhjr9wyrsulhw6wclkk7idc1kszun","True","8LstZpZuR9Dy7JCZC3YwPEWtbYhuDVFAYV37r6ZAcuHz","Open Set","OS","CARDS","CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp","7h","11/9/2026 22:53:25","7,703","0.0006581","658200","116423,05","76317,78","1582990,67","2033532,13","334","211","-3,61","594",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","13","23B6d3FvDu2eiZxyBLgWdm2W2vn1bdRwJTR6NCfQpxGE","23b6d3fvdu2eizxyblgwdm2w2vn1bdrwjtr6ncfqpxge","True","9oXA1VWKNiYDYa6VKHBFFBBvZdvuhw1b2eD5Aka7YrVt","Flame","FLAME","EMBER","5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6","20h","11/9/2026 10:32:54","20,045","0.0008953","895325","107757,38","32667,72","397086,34","7494308,11","678","907","19,93","0,78",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","14","5752ia7jC3ZU1c8ycytaSyi5D4nVhApSKvreGbs7pwWL","5752ia7jc3zu1c8ycytasyi5d4nvhapskvregbs7pwwl","True","4MMQY9bwkxxTtsK3W227Q5ABT6yFY8Pmn9Ze7wmAXKY8","ALLINU","ALLINU","DKNG","DKNGQFNGQmoBdXSRGKJ8tTu7uPDasw5JDcfMmWniNfow","10h","11/9/2026 20:02:18","10,555","0.001000","1000434","94940,26","72748,92","1313100,1","11231838,86","390","253","-18,1","-45,65",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","15","zxTpi4BtaWX3mgdAPoezkMD1hxx8CdeCfrqXMWvSCLX","zxtpi4btawx3mgdapoezkmd1hxx8cdecfrqxmwvsclx","True","6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx","STONK","STONK","SOL","So11111111111111111111111111111111111111112","29d","12/8/2026 10:51:40","739,732","0.2722","232932203","4752751,36","1581866,86","9331856,72","73278267,92","1294","834","-0,06","-7,3",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","16","CXKwgui737V9EDZKLtU5AeHQnWX4kNTnn3gGQT9Tf6wK","cxkwgui737v9edzkltu5aehqnwx4kntnn3ggqt9tf6wk","True","2fWzx35rQMAATQGhJzVTvzeXHcenCQLqCog9Jkg5pump","LAMA Pay","LAMA","SOL","So11111111111111111111111111111111111111112","3h","12/9/2026 02:59:05","3,609","0.0003466","336919","51302,25","143970,97","1213939,54","1213939,54","1020","821","26,79","743",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","17","BTccxxTFi7a9xJTE1exKn38Jgie35s6gNeRxd8DM61Rc","btccxxtfi7a9xjte1exkn38jgie35s6gnerxd8dm61rc","True","HcRLc9VDgjLeK154xDawfb1dmVJ98DoSqcwTHGqiDeJR","Anonymous Cat","ZCAT","ZEC","A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS","11d","30/8/2026 23:29:55","295,095","0.07561","75616062","1354762,61","41501,19","898723,02","4054465,08","28","39","-2,33","-1,6",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","18","DA4pM4xSDY4M9V4CgAKKBVH1pw1yscTQQa5nEkGHuKpt","da4pm4xsdy4m9v4cgakkbvh1pw1ysctqqa5nekghukpt","True","MukLDtJ8Cx9DxLbeyLRSWPSposTMWuwHANbuaudpump","OTC","OTC","SOL","So11111111111111111111111111111111111111112","13d","28/8/2026 13:33:10","353,041","0.01438","10144243","597561,53","77775,29","810744,57","3846598,77","343","277","-4,54","21,65",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","19","AfrddTGYwCVEQB1gxCAhR8i48o6qtxYqksdVkeLudEhg","afrddtgywcveqb1gxcahr8i48o6qtxyqksdvkeludehg","True","6GmAFSYs4gk3FDao5FzzySQpPZaWsa4rUJHacpMpUNgx","STONK","STONK","SOL","So11111111111111111111111111111111111111112","1mo","5/8/2026 03:58:13","914,623","0.2736","234063202","1405455,78","86427,52","745448,7","8827298,47","114","47","0,73","-7,46",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","20","HX6nX5hd143EuHnvb5n7iTSuEBsEx4k9Ne6zyCYBbRMi","hx6nx5hd143euhnvb5n7itsuebsex4k9ne6zycybbrmi","True","HunmXDXMNQYVoDnUL6PNnSYEtFaTZA2WzGh1HJTW7aoV","Loop","LOOP","KNOTS","8RVBk8vxLiUHueLUW1f4izFVqN3nWippLhkohKg6EGkS","1d","11/9/2026 02:57:10","27,641","0.001817","1817596","91846,74","11047,33","100189,33","754149,42","52","36","-21,89","14,02","100","System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","21","HMzvsEEmtzHhvZNw9uwbaG85HCTmFnkbhzUx16cy7ca3","hmzvseemtzhhvznw9uwbag85hctmfnkbhzux16cy7ca3","True","Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump","Catecoin","CATE","SOL","So11111111111111111111111111111111111111112","1mo","26/7/2026 16:32:43","1142,048","0.04466","43062570","2163302,84","58121,77","866536,35","4390575,34","203","197","-0,56","2,07",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","22","zf7uTK56DM7en5KXNvtPD9AT66BamJb6DfZuqBhVgBr","zf7utk56dm7en5kxnvtpd9at66bamjb6dfzuqbhvgbr","True","J8X5ygWHY5uHFch7m3MisSC7eDAWpAkgi1pyqfT5pump","revolve ","revolve ","SOL","So11111111111111111111111111111111111111112","58m","12/9/2026 05:35:19","1,005","0.0002230","213178","39428,18","507935,02","518464,32","518464,32","5888","4816","451","432",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","23","GbrDAq3RjcVWeroLDUwmnuQ8N5xaaKj2Rk2dJDg64CLY","gbrdaq3rjcvwerolduwmnuq8n5xaakj2rk2djdg64cly","True","5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6","embercurve","EMBER","SOL","So11111111111111111111111111111111111111112","2d","9/9/2026 23:09:57","55,428","0.01535","15359084","790787,4","330707,9","1886833,41","35426164,19","340","317","24,95","0,62",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","24","FnzKY6x7entQ1eR3D225dQyT7ybfka4PskBMQhb8L3CC","fnzky6x7entq1er3d225dqyt7ybfka4pskbmqhb8l3cc","True","9cRCn9rGT8V2imeM2BaKs13yhMEais3ruM3rPvTGpump","The Black Bull","ANSEM","SOL","So11111111111111111111111111111111111111112","2mo","16/6/2026 21:05:48","2097,497","0.1490","148681615","2226823,79","141377,9","433902,82","2355911,02","139","275","4,81","3,44",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
"solana","25","6e4ewHhGZrBMiSkKat7QCx28dytJdnYrobNXWrPL5WFN","6e4ewhhgzrbmiskkat7qcx28dytjdnyrobnxwrpl5wfn","True","5dvXTZ5qwgafnHtwu3Ls3QrWx1U4LQsFeCuJgkk4QEC6","embercurve","EMBER","USDC","EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v","2d","10/9/2026 05:53:50","48,696","0.01599","15991717","358003,87","433556,1","1906517,76","14276805,17","578","720","28,07","4,91",,"System.Object[]","System.Object[]","2026-09-12T06:35:36.7403987Z"
